431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
253,b253,788410,1068940,100,158,C,CP,1.355287998,777.6625,10.1,VOLCANO-SEDIM. SCHISTS,1
254,b254,789971,1061197,80,135,V,CP,1.12E-09,776.1625,17.2,VOLCANO-SEDIM. SCHISTS,2
255,b255,766015,1051626,90,164,V,CP,1.331024548,1093.784949,42.1408163,GRANITES,1
256,b256,776950,1055432,50,26,V,CP,0.491799981,5369.275403,2.9232258,GRANITES,0.2
257,b257,774807,1081364,120,521,K,CP,1.414212734,868.9659591,44.8330189,GRANITES,3
258,b258,776908,1081379,40,15,C,NC,0,0,0,GRANITES,0
259,b259,757397,1037998,20,33,V,NC,0,0,3.28,GRANITES,0
260,b260,769417,1037633,90,24,V,NC,0.540052804,1731.072638,13.59682028,GRANITES,0.3
261,b261,777166,1046337,130,170,K,CP,0.360624462,825.4742787,22.89,VOLCANO-SEDIM. SCHISTS,4.1
262,b262,767101,1046564,250,913,W,EC,0.943210218,974.7058919,7.8083721,VOLCANO-SEDIM. SCHISTS,8.2
263,b263,764835,1048486,160,425,C,NC,0.707106782,1168.522975,11.5465347,VOLCANO-SEDIM. SCHISTS,5
264,b264,761398,1046077,60,43,C,NC,0.0601793,3770.510829,37.9060411,VOLCANO-SEDIM. SCHISTS,0.5
265,b265,759393,1053668,80,41,W,NC,0.088388348,853.0931569,48.20474453,GRANITES,1.5
266,b266,755196,1052596,40,84,V,CP,0,0,0,GRANITES,0
267,b267,762777,1063681,220,668,U,NC,1.086963879,1136.456738,12.7723318,VOLCANO-SEDIM. SCHISTS,5.1
268,b268,770716,1066123,130,330,V,CP,1.061492057,1073.475518,14.34,GNEISS-MIGMATITES,2.6
